Model,Train_R2,Test_R2,MAE,RMSE,MAPE,Training_Time
Linear Regression,1.0,1.0,5.050645857295167e-11,6.309704385199776e-11,2.5057086744150095e-13,0.029679059982299805
Random Forest,0.9999998280016,0.9999994199864253,5.816069630872448,9.851687569959315,0.025188914442193188,1.8763463497161865
Decision Tree,1.0,0.9999978164488473,10.965324384787472,19.114953093516547,0.04956267499906015,0.11436152458190918
Gradient Boosting,0.9999312027901901,0.9999203892159183,87.42015666560687,115.4190517944851,0.3600376735147863,2.3319711685180664
XGBoost,0.9999886191559744,0.9998783172480381,73.89686150945539,142.69411524495018,0.30115874571872725,0.21093201637268066
LSTM,0.000780150247430611,-0.0014708169658990133,10491.260663575325,12964.860636142557,50.02008074859072,17.094186067581177
