Model,Train_R2,Test_R2,MAE,RMSE,MAPE,Training_Time
Gradient Boosting,0.8593730606989941,0.8449225414486886,3129.99058006514,5094.081500767514,9.631309508674741,1.8071982860565186
Random Forest,0.9772201436479689,0.833025800281045,3234.6817435682324,5285.867064909368,9.690073637807844,1.2725756168365479
XGBoost,0.9665285407780084,0.8120985210089083,3484.354600876503,5607.336907198265,10.689898267451177,0.3929281234741211
Linear Regression,0.7569509676918222,0.7491331502958825,4271.383972371062,6479.077719574941,13.328104248701688,0.02216506004333496
Decision Tree,1.0,0.6499683197835967,4460.536772930649,7653.238151831415,13.20770369044489,0.0910336971282959
LSTM,-0.00039459606894487465,-0.0029770237731336913,10491.9460631909,12974.606513964547,49.87157803259462,13.228582859039307
