Model,Train_R2,Test_R2,MAE,RMSE,MAPE,Training_Time
Gradient Boosting,0.8856213827608871,0.8441221316373069,3142.4508696631024,5107.210762810702,9.589946077931732,12.337533950805664
Random Forest,0.9522357040633036,0.836819480082885,3198.160393509461,5225.474199036332,9.59788760786727,5.366037130355835
XGBoost,0.932474467435608,0.8307755017160938,3250.2951215022895,5321.366473296364,9.776524204069938,0.5412850379943848
Decision Tree,0.8882759208229705,0.784116573443436,3553.4566396882606,6010.369926709813,10.665173413060522,0.29134440422058105
Linear Regression,0.756950967686317,0.7491331503264156,4271.3839755645,6479.077719180654,13.328104273224413,0.03503704071044922
